field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
ID,163.62.38.66,121.20.245.187,63006,443,6,"http://adoxarabia.com/rerumvero/laudantiumillum-5264532
",28,448
ID,163.62.110.121,69.85.188.107,52221,443,6,"http://ctic.icagi.sn/quiaofficia/utut-5159952
",23,368
ID,163.62.38.66,121.20.245.187,63008,443,6,"http://difi.in/pariaturlaboriosam/faceretenetur-5177555
",28,448
ID,163.62.38.66,121.20.245.187,63043,443,6,"http://bwb.fun/optioperspiciatis/estrerum-5163376
",25,400
ID,133.4.179.150,185.129.212.24,443,32182,6,"http://115.50.107.41:34730/mozi.m
",17,272
ID,133.4.239.91,39.37.62.20,22,65312,6,"http://59.97.175.125:43679/Mozi.m
",17,272
ID,149.68.91.28,163.62.80.93,443,49352,6,"http://27.221.188.108:43877/Mozi.a
",18,280
ID,163.62.38.66,121.20.245.187,63044,443,6,"http://difi.in/pariaturlaboriosam/nihilet-4614002
",25,400
ID,163.62.38.66,121.20.245.187,63045,443,6,"http://brsbnp.com/eosmaxime/voluptatumtemporibus-5163372
",29,456
ID,163.62.38.66,180.150.215.227,62990,443,6,"http://brsbnp.com/eosmaxime/perferendisquo-5179208
",26,408
ID,163.62.38.66,180.160.22.11,63019,443,6,"http://difi.in/pariaturlaboriosam/quieligendi-4762260
",27,432
ID,163.62.38.66,180.160.22.11,63020,443,6,"http://ctic.icagi.sn/quiaofficia/cumanimi-5292470
",25,400
ID,163.62.110.121,31.142.173.253,65307,443,6,"http://222.168.193.77:35768/Mozi.m
",18,280
ID,163.62.38.66,180.160.22.11,63021,443,6,"http://brsbnp.com/eosmaxime/maximerepellendus-5137993
",27,432
ID,163.62.38.66,180.160.22.11,63022,443,6,"http://brsbnp.com/eosmaxime/veritatistemporibus-5292470
",28,448
ID,163.62.40.16,38.186.29.184,62509,80,6,"http://brsbnp.com/eosmaxime/nequemollitia-5163378
",25,400
ID,163.62.216.246,223.0.148.122,28646,6003,6,"http://brsbnp.com/eosmaxime/etet-5163374
",21,328
ID,163.62.80.93,149.68.91.28,49352,443,6,"http://bwb.fun/optioperspiciatis/impeditodit-5138013
",27,424
ID,163.62.71.108,13.154.250.224,53111,443,6,"http://adoxarabia.com/rerumvero/oditet-5001788
",24,376
ID,163.62.80.93,149.68.91.28,49566,443,6,"http://ctic.icagi.sn/quiaofficia/eosodit-5264707
",25,392
ID,163.62.83.10,44.25.104.106,58836,443,6,"http://ctic.icagi.sn/quiaofficia/consequaturdignissimos-5087927
",32,512
ID,149.36.183.249,203.139.118.176,21,21,6,"http://182.127.4.196:43654/Mozi.m
",17,272
ID,163.62.128.112,54.186.186.67,4188,443,6,"http://217.132.52.146:58300/Mozi.m
",18,280
